MATRIKS RISK ISSUE,,,,,,,,Aktivitas Unit Kerja,,,Contoh Temuan
NO,MEGA,No,MAJOR,No,SUB MAJOR,CODE,RISK ISSUE,KC,KR,KP,
,,,,,,POK2,Jaringan menjadi rentan terhadap akses dan serangan pihak yang tidak berwenang,,√,√,
,,,,,,POK3,Pemanfaatan informasi sensitif pada media (hard dan soft) oleh pihak yang tidak berwenang,√,√,√,
,,,,,,POK4,Bocornya aset informasi dan terjadinya modifikasi informasi yang tidak sah melalui transmisi online atau pertukaran informasi dengan pihak eksternal,√,√,√,
,,,,2.7.4,Pengendalian Akses,AKS1,Integritas aplikasi tidak terjamin akibat adanya perubahan source program oleh pihak yang tidak berwenang,,,√,
,,,,,,AKS2,Pengelolaan User ID dan password tidak sesuai ketentuan,,√,√,Tidak adanya pengajuan penghapusan username untuk staf keluar
,,,,2.7.5,Monitoring Kepatuhan,KPT1,"Adanya kerugian atau tuntutan dari pihak ketiga/regulator atas pelanggaran lisensi, peraturan perundangan, kontrak, atau ketentuan yang berlaku",,,√,
,,2.8,Operasional IT ,2.8.1,Proses,PIT1,Kegagalan operasional Unit Kerja karena kesalahan setting parameter terkait aplikasi,,,√,
,,,,,,PIT2,Respond time aplikasi lambat dikarenakan object yang tidak diperlukan,,,√,
,,,,,,PIT3,Hilangnya data kritis akibat Application Error,,,√,
,,,,2.8.2,Output,OIT1,Output aplikasi tidak tersedia / tidak akurat / tidak lengkap / tidak konsisten,,,√,
,,,,,,OIT2,Informasi yg dihasilkan tidak sesuai kebutuhan (kelebihan atau kekurangan),,,√,
3,Keuangan,3.1,Manajemen Proses Pinjaman/ Pembiayaan,3.1.1,Permohonan & Analisa Pinjaman/ Pembiayaan,PAP1,Administrasi anggota atau calon anggota tidak lengkap atau tidak ditindaklanjuti sesuai ketentuan,√,,,"Kredit Fiktif/Topengan/Atas Nama
Kredit Tempilan/Share Disbursement
Anggota dengan ID Ganda , (Pinjaman Ganda/Double Financing & Fiktif)"
,,,,,,PAP2,Perhitungan kebutuhan pinjaman/ pembiayaan tidak akurat,√,,,Pencairan melebihi rincian kebutuhan anggota
,,,,,,PAP3,Penetapan produk pinjaman/ pembiayaan tidak sesuai hasil analisis kredit/tidak sesuai ketentuan,√,,,"Kesalahan analisa produk pembiayaan yang dilakukan staf lapang ketika pengajuan pinjaman (Cth:  Syarat Pengajuan Top Up belum terpenuhi) - Inisiatif Manajer, Koorcab & RGM yang melanggar ketentuan utama
Penetapan Grace Period untuk sanitasi dan renovasi rumah terjadi kesalahan sehingga muncul arrear
Realisasi program sudah tidak berlaku
Adanya kebijakan bersifat lokal yang melanggar ketentuan utama (SK, SOP, dsb)"
,,,,3.1.2,Pemberian Putusan Pinjaman/ Pembiayaan,PTP1,"Putusan pinjaman/ pembiayaan tidak sesuai dengan hasil analisis, diputus oleh pejabat yang tidak berwenang atau tidak sesuai ketentuan yang berlaku",√,√,,"Pemberian pinjaman melebihi ketentuan plafon maksimal
Tidak adanya tandatangan Manajer Cabang dan/atau Koordinator Cabang pada form pengajuan akad dan pencairan pinjaman (belum mendapat approval pada sistem MDIS) 
Pembiayaan Micro Bisnis dan Pembiayaan Renovasi Rumah belum/tidak ada persetujuan korcab dan manajer cabang
Persetujuan pencairan antara manajer, staf lapang dan proses pencairan berbeda (yang digunakan rekomendasi staf lapang)"
,,,,3.1.3,Realisasi & Pencairan Pinjaman/ Pembiayaan,RPP1,Realisasi dan pencairan pinjaman/ pembiayaan dilaksanakan sebelum syarat dan ketentuan pemberian pinjaman dipenuhi,√,,,"Tandatangan anggota berbeda antara form pengajuan dan form pencairan serta akad (prinsip syariah)
Tandatangan anggota tidak ada di akad
Pemotongan Biaya Pencairan diluar ketentuan
Disburse tidak diberikan (penundaan/pengalihan) kepada anggota
Dokumen persayaratan pada saat akad tidak terpenuhi (misal. Invoice Pembelian Laptop pada pinjaman talangan pendidikan tidak ada/dipalsukan)"
,,,,3.1.4,Dokumentasi & Administrasi Pinjaman/ Pembiayaan,DAP1,Berkas pinjaman anggota tidak lengkap atau tidak ditatakerjakan sesuai ketentuan,√,,,"Kartu Pinjaman Anggota tidak ada
Selisih saldo pada kartu pinjaman anggota (Saldo tidak sesuai dengan sistem MDIS)
Dokumen pinjaman anggota tidak lengkap
Saldo Kartu Pinjaman Anggota (KPA) tidak update
Berkas Pinjaman (UK, Identitas, PPI, P3) tidak lengkap/ tidak ada
Berkas Pinjaman tidak diarsip sesuai ketentuan
Tidak adanya rincian biaya ketika pengajuan (RAB pada PSA dan PRR)
Berkas anggota keluar masih diarsip di odner"
,,,,3.1.5,Pembinaan & Monitoring Anggota,PMA1,Pembinaan & monitoring kepada anggota secara off site dan on site tidak dilakukan sesuai ketentuan,√,,,"Monitoring belum dilakukan lebih dari 14 hari atau belum melengkapi form monitoring
Nota Pembelian (umum, mikrobisnis, sanitasi & renovasi) tidak sesuai/tidak ada/tidak lengkap-> Prinsip Syariah
Pencairan tidak sesuai rincian yang diberikan ketika pengajuan"
,,,,3.1.6,Pelaksanaan Proses Angsuran (Aktifitas Pembiayaan Anggota),PAA1,Proses penyetoran angsuran/ iuran yang berkaitan dengan pinjaman/ pembiayaan tidak dilakukan sesuai ketentuan,√,,,"Angsuran anggota tidak di transaksikan ke kantor/Sistem MDIS
Transfer anggota ke rekening pribadi staf/asmen/manajer (rekening bank, e-wallet dan sejenisnya yang bersifat pribadi)
"
,,,,,,PAA2,Proses Penagihan Angsuran Pinjaman tidak dilakukan,,,,Tidak dilakukannya proses penagihan/pengambilan angsuran ke lapang
